Local Health Integration Network (LHIN),Home Administrator,Licensee,Management Firm,Home Type,Licensed Beds,Approved Short Stay Beds,Residents’ Council,Family Council,Accreditation,Home Designated Under French Language Services Act,Additional Information,Telephone
Central West, MS KLARA HAMVAS  ,488491 Ontario Inc.,,For-Profit,Home with approximately 137 beds,Yes,Yes,Yes,Yes,No,,(519) 941-5161
South West, MR JOE BABCOCK  ,Babcock Community Care Centre Inc.,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,No,,(519) 693-4415
Erie St. Clair, MS TANYA ADAMS (Interim)  ,Rykka Care Centres Lp,,For-Profit,Home with approximately 142 beds,Yes,Yes,Yes,Yes,No,,(519) 735-3204
Waterloo Wellington, MS CATHY HOLLAND  ,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 96 beds,No,Yes,No,Yes,No,,(519) 669-5777
North Simcoe Muskoka, MR SCOTT STRANDHOLT  ,Bay Haven Nursing Home Incorporated,,For-Profit,Home with approximately 60 beds,No,Yes,No,No,No,,(705) 445-6501
Central East, MS LESREEN THOMAS  ,Axr Operating (National) Lp,,For-Profit,Home with approximately 124 beds,No,Yes,Yes,Yes,No,,(905) 837-8745
Champlain, MR GERRY MILLER  ,"Cvh (No. 7) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 66 beds,No,Yes,Yes,No,No,,(613) 258-7484
Hamilton Niagara Haldimand Brant (Hnhb), MS KAREN BAKKER-STEPHENS  ,Baywoods Place Operating Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,No,,(905) 523-7134
Hamilton Niagara Haldimand Brant (Hnhb), MS VERONICA SWARTZ  ,Bella Senior Care Residences Inc.,Extendicare (Canada) Inc.,For-Profit,Home with approximately 161 beds,No,Yes,Yes,Yes,No,,(905) 295-2727
,,,,,,,,,,,,
South East, MS DENISE MACKEY  ,Belcrest Nursing Homes Limited,,For-Profit,Home with approximately 128 beds,No,Yes,No,Yes,No,,(613) 968-4434
North East, Ms Kami Johnson  ,Board Of Management Of The District Of Parry Sound West,,Municipal,Home with approximately 101 beds,No,Yes,Yes,Yes,No,,(705) 746-5871
Central East, MS GINA FILICE  ,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 302 beds,Yes,Yes,Yes,Yes,No,"Pavillon Omer Deslauriers, 37 beds, long term care services provided in French and English. ",(416) 397-7000
Mississauga Halton, MS SOO WONG  ,Bennett Centre Long Term Care At Bennett Village,,Non-Profit,Home with approximately 66 beds,No,Yes,Yes,Yes,No,,(905) 873-0115
Erie St. Clair, MS ERIKA HOOKER  ,Rykka Care Centres Lp,,For-Profit,Home with approximately 231 beds,No,Yes,Yes,Yes,No,,(519) 256-7868
North West, Mr Randy Middleton  ,St. Joseph's Care Group,,Non-Profit,Home with approximately 110 beds,No,Yes,Yes,Yes,No,,(807) 768-4429
,,,,,,,,,,,,
Hamilton Niagara Haldimand Brant (Hnhb), Ms Sharon Pustman  ,Maryban Holdings Ltd.,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(905) 333-4006
North West, MS MARVA GRIFFITHS  ,Southbridge Capital,Extendicare Assist,For-Profit,Home with approximately 96 beds,Yes,Yes,Yes,Yes,No,,(807) 468-8625
Hamilton Niagara Haldimand Brant (Hnhb), MS SHELLY DESGAGNE  ,Blackadar Continuing Care Centre Inc.,,For-Profit,Home with approximately 80 beds,No,Yes,No,No,No,,(905) 627-5465
Erie St. Clair, MS GWEN DALY  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 65 beds,No,Yes,Yes,Yes,No,,(519) 676-8119
Central, MS JANET IWASZCZENKO  ,Specialty Care Inc.,,For-Profit,Home with approximately 112 beds,Yes,Yes,Yes,Yes,No,,(905) 640-1310
,,,,,,,,,,,,
North Simcoe Muskoka, MRS SHIRLEY CASSEL  ,The Ontario Mission Of The Deaf,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,No,No,,(705) 719-6700
South West, MS TERRI BENWELL  ,The Corporation Of The County Of Elgin Municipal Homes,,Municipal,Home with approximately 57 beds,Yes,Yes,Yes,No,No,,(519) 762-2417
Champlain, MS SHELLEY SHEEDY  ,County Of Renfrew,,Municipal,Home with approximately 180 beds,Yes,Yes,Yes,Yes,No,,(613) 432-4873
Central, MS CATHY VANBEEK  ,Specialty Care - Bradford Inc.,,For-Profit,Home with approximately 246 beds,No,Yes,Yes,Yes,No,,(905) 952-2260
South West, MR ARCHIE MacGOWAN  ,Macgowan Nursing Homes Ltd.,,For-Profit,Home with approximately 69 beds,No,Yes,No,Yes,No,,(519) 357-3430
Hamilton Niagara Haldimand Brant (Hnhb), MS BRENDA NADEAU  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 79 beds,No,Yes,Yes,Yes,No,,(519) 759-1040
South East, MS ALAINA Kerr  ,Broadview Nursing Centre Limited,,For-Profit,Home with approximately 75 beds,No,Yes,No,No,No,,(613) 283-1845
Erie St. Clair, MS NANCY COMISKEY  ,1230839 Ontario Limited,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,No,,(519) 735-9810
South West, Ms Catherine Stewart  ,Corporation Of The County Of Bruce,,Municipal,Home with approximately 144 beds,No,Yes,No,No,No,,(519) 881-1570
Hamilton Niagara Haldimand Brant (Hnhb), Ms Sharon Bailey  ,Axr Operating (National) Lp,,For-Profit,Home with approximately 144 beds,No,Yes,Yes,Yes,No,,(905) 639-6389
Central East, MS APRIL FAUX  ,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 43 beds,No,Yes,Yes,Yes,No,,(705) 653-4100
Central West, MS NITIKA DHANJU  ,1245556 Ontario Inc.,Primacare Living Solutions Inc.,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,No,,(905) 455-1601
Hamilton Niagara Haldimand Brant (Hnhb), MS PAT CERVONI  ,The Central Canadian District Of The Christian And Missionary Alliance In Canada,,Non-Profit,Home with approximately 134 beds,No,Yes,Yes,No,No,,(905) 681-6441
Waterloo Wellington, MS HEATHER RICHARDSON  ,Caressant-care Nursing And Retirement Homes Limited,Cambridge Memorial Hospital,For-Profit,Home with approximately 80 beds,No,Yes,Yes,Yes,No,,(519) 650-0100
Mississauga Halton, Ms Justine Welburn  ,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 237 beds,Yes,Yes,Yes,Yes,No,,(905) 270-0411
Central, MS LISA SOLONEN MACKAY  ,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 127 beds,No,Yes,Yes,Yes,No,,(416) 397-1500
Waterloo Wellington, MS LINDSAY ROSS  ,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 80 beds,No,Yes,Yes,Yes,No,,(519) 848-3795
Champlain, MS. PAMELA RICHMOND  ,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,No,,(613) 487-2331
Champlain, MS ALEXIS ANDERSON  ,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,No,,(613) 646-2109
South West, MRS MICHELE HOUGH  ,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 55 beds,No,Yes,No,Yes,No,,(519) 688-0710
Waterloo Wellington, MS Angel Roth  ,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 87 beds,No,Yes,Yes,Yes,No,,(519) 843-2400
Waterloo Wellington, MS KAYLA KNIGHT  ,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 92 beds,No,Yes,Yes,Yes,No,,(519) 338-3700
Central East, MR BUTCH ASHCROFT  ,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 124 beds,No,Yes,No,Yes,No,,(705) 324-1913
South West, MS LENORA BELLE  ,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 52 beds,Yes,Yes,No,Yes,No,,(519) 291-1041
South East, MS CINDY BRANDT  ,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 84 beds,No,Yes,Yes,Yes,No,,(613) 472-3130
South West, Ms Susan Hastings  ,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 116 beds,No,Yes,No,Yes,No,,(519) 633-6493
South West, MS KORI AMON  ,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 60 beds,No,Yes,No,Yes,No,,(519) 633-3164
Central East, MS CHRISTINE PAULL  ,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 96 beds,No,Yes,Yes,Yes,No,,(705) 324-0300
South West, Ms Natalie Aikens  ,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 163 beds,Yes,Yes,Yes,Yes,No,,(519) 539-6461
Champlain, MS MARY ZION  ,City Of Ottawa,,Municipal,Home with approximately 161 beds,No,Yes,Yes,Yes,No,,(613) 580-2953
Champlain, MR MATT CARROLL  ,Carlingview Manor Operating Inc.,,For-Profit,Home with approximately 303 beds,No,Yes,Yes,Yes,No,,(613) 820-9328
South East, MR BRETT GIBSON  ,Carveth Nursing Home Limited,,For-Profit,Home with approximately 104 beds,No,Yes,Yes,Yes,No,,(613) 382-4752
Central East, MS MONICA CARA  ,Specialty Care Case Manor Inc.,,For-Profit,Home with approximately 96 beds,No,Yes,Yes,Yes,No,,(705) 738-3821
North East, MR JAMIE LOWERY  ,Board Of Management Of The District Of Nipissing East,,Municipal,Home with approximately 240 beds,Yes,Yes,Yes,Yes,No,,(705) 474-4250
Toronto Central, Mr Tim Burns  ,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 456 beds,Yes,Yes,Yes,Yes,No,,(416) 392-5700
Mississauga Halton, MR DAVID MARRIOTT  ,Delcare Ltc Inc.,Chartwell Seniors Housing Reit,For-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,No,,(905) 306-9984
Central, MS ANNA URBANOWICZ  ,Specialty Care Inc.,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,No,,(905) 476-2656
Toronto Central, MS ADELE LOPES  ,Cedarvale Terrace Ltc Inc. As General Partner Of Cedarvale Terrace Ltc Limited Partnership,,For-Profit,Home with approximately 218 beds,Yes,Yes,Yes,Yes,No,,(416) 967-6949
North East, MS JANE MASON  ,Autumnwood Mature Lifestyle Communities Inc.,Universalcare Canada Inc.,For-Profit,Home with approximately 50 beds,No,Yes,Yes,No,No,,(705) 450-5264
Hamilton Niagara Haldimand Brant (Hnhb), MS SUSAN HASTINGS  ,Maplewood Nursing Home Limited,,For-Profit,Home with approximately 91 beds,Yes,Yes,Yes,Yes,No,,(519) 426-8305
Central East, MS DEBBIE MADDISON  ,Centennial Place Millbrook Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,No,Yes,No,,(705) 932-4464
Champlain, MS JACQUELINE ROY  ,City Of Ottawa,,Municipal,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(613) 746-3543
,,,,,,,,,,,,
Central, MR GREG BOUDREAU  ,Chartwell Master Care Lp,,For-Profit,Home with approximately 235 beds,Yes,Yes,Yes,Yes,No,,(905) 727-1939
South West, MS LORI DEMAITER  ,Chartwell Master Care Lp,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,No,,(519) 773-3423
Central East, MS DUNA MCKAY  ,Chartwell Master Care Lp,,For-Profit,Home with approximately 100 beds,No,Yes,Yes,Yes,No,,(905) 683-7321
Central East, Ms Angela Rodrigues  ,"Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Responsive Health Management Inc.,For-Profit,Home with approximately 57 beds,Yes,Yes,Yes,Yes,No,,(705) 432-2385
Hamilton Niagara Haldimand Brant (Hnhb), MS CARLA ROCHE  ,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 175 beds,No,Yes,Yes,Yes,No,,(905) 639-2848
Champlain, MR DANY ROUSSEL  ,"Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Responsive Health Management Inc.,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,Yes,,(613) 675-4617
Waterloo Wellington, MS PENNY SILVA  ,Chartwell Master Care Lp,,For-Profit,Home with approximately 48 beds,No,Yes,No,Yes,No,,(519) 669-2921
Central, MS AUTUMN TRUMBULL  ,Chartwell Master Care Lp,,For-Profit,Home with approximately 202 beds,No,Yes,No,Yes,No,,(416) 493-4666
Champlain, MS NICOLE GURNSEY  ,"Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Responsive Health Management Inc.,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,Yes,,(613) 347-3016
South West, MS LINDA ADAMSON  ,Chartwell Master Care Lp,,For-Profit,Home with approximately 95 beds,No,Yes,No,Yes,No,,(519) 434-2727
Hamilton Niagara Haldimand Brant (Hnhb), Mr Chris Poos  ,"Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Responsive Health Management Inc.,For-Profit,Home with approximately 124 beds,No,Yes,Yes,Yes,No,,(905) 468-2111
South West, Ms Lisa Smith  ,Chartwell Master Care Lp,,For-Profit,Home with approximately 59 beds,No,Yes,No,Yes,No,,(519) 294-6342
Central West, MS CHRISTINA MATTA  ,Chartwell Master Care Lp,,For-Profit,Home with approximately 101 beds,Yes,Yes,Yes,Yes,No,,(905) 850-3605
Erie St. Clair, MS NICOLE ROSS  ,Chartwell Master Care Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(519) 733-9303
Central East, MS SHOMA MARAJ  ,Trilogy Ltc Inc.,,For-Profit,Home with approximately 197 beds,Yes,Yes,Yes,Yes,No,,(416) 443-1074
Mississauga Halton, MS MICHELE MACKENZIE  ,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 168 beds,No,Yes,Yes,Yes,No,,(905) 827-2405
Mississauga Halton, MS CECILE CARROL  ,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 161 beds,No,Yes,Yes,Yes,No,,(905) 822-4663
Mississauga Halton, Ms Sara Rickards  ,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 187 beds,No,Yes,Yes,Yes,No,,(416) 622-7094
Waterloo Wellington, MS DAWNA COURTNEY  ,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 161 beds,No,Yes,Yes,Yes,No,,(519) 570-2115
Toronto Central, Ms Adyanes Lachowski  ,Chartwell Master Care Lp,,For-Profit,Home with approximately 57 beds,Yes,Yes,Yes,Yes,No,,(416) 533-7935
Hamilton Niagara Haldimand Brant (Hnhb), MS KATE MACDONALD  ,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 169 beds,No,Yes,Yes,Yes,No,,(905) 304-6781
Central, Mr Andre Dwyer  ,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 192 beds,Yes,No,Yes,Yes,No,,(905) 472-3320
Central East, Ms Debbie McCance  ,Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc. As General Partner,,For-Profit,Home with approximately 172 beds,No,Yes,Yes,Yes,No,,(905) 571-0065
Erie St. Clair, MS ANNEMARIE MELOCHE  ,"Dtoc Long Term Care Lp, By Its General Partner, Dtoc Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Universalcare Canada Inc.,For-Profit,Home with approximately 59 beds,No,Yes,Yes,Yes,No,,(519) 254-4341
South West, MRS SUZI HOLSTER  ,"Cvh (No. 3) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)","Diversicare Canada Management Services Co., Inc.",For-Profit,Home with approximately 247 beds,Yes,Yes,Yes,Yes,No,,(519) 432-1855
Central, MS JENNIFER GILLINGHAM  ,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 170 beds,Yes,Yes,Yes,Yes,No,,(416) 223-4050
Toronto Central, MS CYNTHIA MARINELLI  ,Broadview Foundation,,Non-Profit,Home with approximately 203 beds,No,Yes,Yes,Yes,No,,(416) 466-2173
Hamilton Niagara Haldimand Brant (Hnhb), MR MICHAEL JANJIC  ,Clarion Nursing Homes Limited,,For-Profit,Home with approximately 100 beds,No,Yes,Yes,Yes,No,,(905) 664-2281
North Simcoe Muskoka, MS MICHELLE UPRICHARD  ,Oakwood Retirement Communities Inc.,,For-Profit,Home with approximately 112 beds,No,Yes,Yes,Yes,No,,(705) 726-8691
North Simcoe Muskoka, MR PETER ZOBER  ,Collingwood Nursing Home Limited,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,No,No,,(705) 445-3991
Waterloo Wellington, Ms Lilibeth Medina  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 156 beds,No,Yes,Yes,Yes,No,,(519) 884-4480
Mississauga Halton, Ms Nicole Fisher  ,Rykka Care Centres Lp,,For-Profit,Home with approximately 192 beds,Yes,Yes,Yes,Yes,No,,(905) 270-0170
Toronto Central, MS ROXANNE ADAMS  ,Copernicus Lodge,,Non-Profit,Home with approximately 228 beds,Yes,Yes,Yes,No,No,,(416) 536-7122
Erie St. Clair, MS SHANNON SNELGROVE  ,Copper Terrace Limited,Apans Inc.,For-Profit,Home with approximately 138 beds,Yes,Yes,Yes,Yes,No,,(519) 354-5442
South West, Ms Christi Broderick  ,Grosvenor Health Care Partnership (No. 3),Revera Long Term Care Inc.,For-Profit,Home with approximately 34 beds,No,Yes,Yes,Yes,No,,(519) 794-2244
South West, MS KAREN DANN  ,Omni Healthcare (Ct) Gpco Ltd. As General Partner Of Omni Healthcare (Country Terrace) Limited Partnershippartner,,For-Profit,Home with approximately 120 beds,Yes,Yes,No,Yes,No,,(519) 657-2955
Erie St. Clair, MS JANET CARRIERE  ,"Cvh (No. 5) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",Kanata Living Inc.,For-Profit,Home with approximately 104 beds,No,Yes,Yes,Yes,No,,(519) 839-4812
North East, MS TRACEY GEMMILL  ,675412 Ontario Inc.,,For-Profit,Home with approximately 48 beds,Yes,Yes,No,Yes,No,,(705) 544-8191
North West, MS KANDICE HENRY  ,Board Of Management Of The District Of Kenora,Unity Health Toronto,Municipal,Home with approximately 32 beds,No,Yes,Yes,No,No,"Name: Dale Clement,
Position: VP Clinical Programs & Site Lead St. Joseph's Health Centre
30 The Queensway
Toronto ON M6R 1B5
Phone: 416-530-6657
E-mail: dale.clement@unityhealth.to",(807) 727-2323
Hamilton Niagara Haldimand Brant (Hnhb), MR BILL NOLAN  ,The Corporation Of Norfolk County,,Municipal,Home with approximately 180 beds,Yes,Yes,Yes,Yes,No,,(519) 426-0902
Toronto Central, Ms Martha Acuna-Galeano  ,Norwood Nursing Home Limited,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,No,,(416) 535-3011
North Simcoe Muskoka, MS ANNETTE SCHNEIDER  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 94 beds,No,Yes,Yes,Yes,No,,(705) 325-2289
Hamilton Niagara Haldimand Brant (Hnhb), MR STEPHEN MORAN  ,Maryban Holdings Ltd.,,For-Profit,Home with approximately 153 beds,Yes,Yes,No,Yes,No,,(905) 356-8732
South West, MS MAUREEN KELLY  ,Oneida Nation Of The Thames,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,No,No,,(519) 652-8977
Hamilton Niagara Haldimand Brant (Hnhb), MS CINDY SHEPPARD  ,Rykka Care Centres Lp,,For-Profit,Home with approximately 45 beds,No,Yes,Yes,Yes,No,,(905) 643-1795
Central East, MR JASON GAY  ,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 233 beds,No,Yes,Yes,Yes,No,,(905) 831-2522
North Simcoe Muskoka, MS LENKA FOUSEK  ,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 57 beds,No,Yes,Yes,Yes,No,,(705) 726-8621
Champlain, MS JESSICA VALADE  ,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 65 beds,No,Yes,No,Yes,No,,(613) 933-2592
Hamilton Niagara Haldimand Brant (Hnhb), SANDY HALL  ,Park Lane Terrace Limited,Apans Health Services,For-Profit,Home with approximately 132 beds,No,Yes,Yes,Yes,No,,(519) 442-2753
Central, MS KAREN GAYMAN  ,The Mennonite Home Association As York County,,Non-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,No,,(905) 640-1911
South West, Ms Christi Broderick  ,Grosvenor Health Care Partnership (No. 3),Extendicare (Canada) Inc.,For-Profit,Home with approximately 34 beds,No,Yes,Yes,Yes,No,,(519) 363-2416
Hamilton Niagara Haldimand Brant (Hnhb), MS LISA HISCOTT  ,The Parkview Health Care Partnership On Behalf Of 593405 Ontario Limited As General Partner,Metcap Living Management Inc./Gestion Residentielle Metcap Inc.,For-Profit,Home with approximately 126 beds,No,Yes,Yes,Yes,No,,(905) 525-5903
Waterloo Wellington, Ms Christine Nomandeau  ,Parkwood Mennonite Home Inc.,,Non-Profit,Home with approximately 96 beds,No,Yes,Yes,Yes,No,,(519) 885-4810
Central West, Ms. Liezle Trinidad  ,The Regional Municipality Of Peel (See Owner No. 416),,Municipal,Home with approximately 177 beds,No,Yes,Yes,Yes,No,,(905) 453-4140
,,,,,,,,,,,,
Waterloo Wellington, MR MIKE DICKIN  ,Peoplecare Communities Inc.,,For-Profit,Home with approximately 185 beds,No,Yes,Yes,Yes,No,,(519) 621-3067
South West, MR JEREMY ZINGER  ,Peoplecare Communities Inc.,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(519) 641-0023
South West, MS DEBORAH WETTLAUFER  ,Peoplecare Communities Inc.,,For-Profit,Home with approximately 100 beds,Yes,Yes,No,Yes,No,,(519) 655-2031
South East, MS JENNIFER CUMMINS  ,"Arch Long Term Care Lp By Its General Partner, Arch Long Term Care Mgp, By Its Partners, Arch Long Term Care Gp Inc. And Arch Capital Management Corporation",Universalcare Canada Inc.,For-Profit,Home with approximately 121 beds,No,Yes,Yes,Yes,No,,(613) 267-2506
Champlain, MS SHELLEY KUIACK  ,City Of Ottawa,,Municipal,Home with approximately 216 beds,No,Yes,Yes,Yes,No,,(613) 274-2671
South East, MS MARGARET PALIMAKA  ,Land O'lakes Community Services,Extendicare (Canada) Inc.,Non-Profit,Home with approximately 60 beds,Yes,Yes,Yes,Yes,No,,(613) 336-9120
Hamilton Niagara Haldimand Brant (Hnhb), MS LISA PALADINO  ,Rykka Care Centres I I Gp Inc,,For-Profit,Home with approximately 41 beds,No,Yes,No,No,No,,(905) 573-4940
North West, MR KEVIN QUEEN  ,Board Of Management Of The District Of Kenora,,Municipal,Home with approximately 116 beds,Yes,Yes,Yes,No,No,,(807) 468-3165
Champlain, MS DIANE PELLETIER  ,"Cvh (No. 4) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 60 beds,No,Yes,Yes,No,No,,(613) 673-4835
South West, MS LISA STROEDER  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 61 beds,No,Yes,Yes,Yes,No,,(519) 528-2820
Central East, MS MARY CARR  ,Medlaw Corporation Limited,,For-Profit,Home with approximately 65 beds,No,Yes,Yes,No,No,,(705) 738-2366
Waterloo Wellington, M. BRYCE MCBAIN  ,Schlegel Villages Inc.,,For-Profit,Home with approximately 84 beds,No,Yes,Yes,Yes,No,,(519) 885-0255
North East, AARON ARCHIBALD  ,The City Of Greater Sudbury,,Municipal,Home with approximately 433 beds,No,Yes,Yes,Yes,No,,(705) 566-4270
North West, LEE MESIC  ,The Corporation Of The City Of Thunder Bay,,Municipal,Home with approximately 150 beds,No,Yes,Yes,Yes,No,,(807) 684-3910
Hamilton Niagara Haldimand Brant (Hnhb), MS CHRISTINE LEONARD  ,Pleasant Manor Retirement Village,,Non-Profit,Home with approximately 41 beds,No,Yes,No,No,No,,(905) 468-1111
